,id,address,base_addr,dist
15270,8022036,"переулок Лихачевский 1-й, д. 6","1-й Лихачёвский переулок, дом 6",0.2857142857142857
21652,7561850,"улица Парковая 5-я, д. 34","5-я Парковая улица, дом 34",0.2857142857142857
28369,7602088,"улица Текстильщиков 8-я, д. 7Б","8-я улица Текстильщиков, дом 7Б",0.2857142857142857
12624,7627757,"улица Кожуховская 6-я, д. 31Б","6-я Кожуховская улица, дом 31Б",0.2857142857142857
6574,7677756,"улица Владимирская 2-я, д. 11Д","2-я Владимирская улица, дом 11Д",0.2857142857142857
24915,7631625,"улица Рыбинская 3-я, д. 28","3-я Рыбинская улица, дом 28",0.2857142857142857
19693,7840936,"переулок Новоподмосковный 4-й, д. 3","4-й Новоподмосковный переулок, дом 3",0.2857142857142857
19556,8100645,"проезд. Новомихалковский 3-й, д. 13","3-й Новомихалковский проезд, дом 13",0.2857142857142857
21481,8041613,"улица Парковая 15-я, д. 41А","15-я Парковая улица, дом 41А",0.2857142857142857
21738,7562077,"улица Парковая 7-я, д. 19","7-я Парковая улица, дом 19",0.2857142857142857
15507,7653538,"улица Лукино 1-я, д. 9","1-я улица Лукино, дом 9",0.2857142857142857
6651,8644035,"улица Владимирская 3-я, д. 17","3-я Владимирская улица, дом 17",0.2857142857142857
5192,7700549,"проезд. Ботанический 1-й, д. 3А","1-й Ботанический проезд, дом 3А",0.2857142857142857
7954,8034757,"улица Героев Панфиловцев, д. 31","улица Героев Панфиловцев, дом 31",0.3333333333333333
15116,7982792,"улица Летчика Бабушкина, д. 27","улица Лётчика Бабушкина, дом 27",0.3333333333333333
13831,7946649,"улица Красных Зорь, д. 33","улица Красных Зорь, дом 33",0.3333333333333333
17462,8152591,"переулок Михалковский 3-й, д. 3","3-й Михалковский переулок, дом 3",0.3333333333333333
2650,8108612,"улица Академика Королева, д. 22","улица Академика Королёва, дом 22",0.3333333333333333
16148,7661674,"проспект Маршала Жукова, д. 62","проспект Маршала Жукова, дом 62",0.3333333333333333
27653,7566649,"улица Судакова, д. 16/47","улица Судакова, дом 16/47",0.3333333333333333
2576,7575184,"улица Академика Ильюшина, д. 10","улица Академика Ильюшина, дом 10",0.3333333333333333
15113,7788705,"улица Летчика Бабушкина, д. 23","улица Лётчика Бабушкина, дом 23",0.3333333333333333
7822,8021848,"улица Генерала Рычагова, д. 11","улица Генерала Рычагова, дом 11",0.3333333333333333
32198,7602920,"улица Юных Ленинцев, д. 22","улица Юных Ленинцев, дом 22",0.3333333333333333
32217,7603006,"улица Юных Ленинцев, д. 41","улица Юных Ленинцев, дом 41",0.3333333333333333
7833,8019190,"улица Генерала Рычагова, д. 22","улица Генерала Рычагова, дом 22",0.3333333333333333
